Removed Pin From Net: NetName=GND Pin=C5_A-1
Removed Pin From Net: NetName=VCC Pin=C5_A-2
Removed Pin From Net: NetName=GND Pin=C5_B-1
Removed Pin From Net: NetName=VCC Pin=C5_B-2
Removed Pin From Net: NetName=GND Pin=C5_C-1
Removed Pin From Net: NetName=VCC Pin=C5_C-2
Removed Pin From Net: NetName=GND Pin=C5_D-1
Removed Pin From Net: NetName=VCC Pin=C5_D-2
Removed Pin From Net: NetName=GND Pin=C5_E-1
Removed Pin From Net: NetName=VCC Pin=C5_E-2
Removed Pin From Net: NetName=GND Pin=C5_F-1
Removed Pin From Net: NetName=VCC Pin=C5_F-2
Removed Pin From Net: NetName=GND Pin=C5_G-1
Removed Pin From Net: NetName=VCC Pin=C5_G-2
Removed Pin From Net: NetName=GND Pin=J2-1
Removed Member From Class: ClassName=Power_Converter Member=C5_A
Removed Member From Class: ClassName=Power_Converter Member=C5_B
Removed Member From Class: ClassName=Power_Converter Member=C5_C
Removed Member From Class: ClassName=Power_Converter Member=C5_D
Removed Member From Class: ClassName=Power_Converter Member=C5_E
Removed Member From Class: ClassName=Power_Converter Member=C5_F
Removed Member From Class: ClassName=Power_Converter Member=C5_G
Removed Member From Class: ClassName=UWB_Beacon_Schematic Member=R5
Change Component Footprint: Designator=J2 Old Footprint=FP-BM04B-GHS-TBT_LF_SN-MFG New Footprint=FP-BM05B-GHS-TBT_LF_SN-MFG
Change Component Comment : Designator=R5 Old Comment=22.1k New Comment=1k
Change Managed Component Library Link : Designator=J2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=26D0CD59-DBD6-440C-826A-C079F8D9FDCB New ItemGUID=B0D41C50-3BEF-4FE0-87D6-9427C3E62820 Old RevisionGUID=E4913C47-8456-4C49-86A4-9FC8EEFBCCC4 New RevisionGUID=60594BCB-867E-4AB7-B3EE-F223770BD53A
Change component parameters: Designator = "R5" ("R5"); Footprint = "FP-CRGCQ0805-IPC_C"; UniqueID = "\NUTYSWJZ" ("\NUTYSWJZ")
Added Component: Designator=R11(FP-CRGCQ0805-IPC_C)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 1142"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773204-3%7F1%7Fpdf%7FEnglish%7FENG_DS_1773204-3_1.pdf%7F4-2176341-1151"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.65mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "RESC200125X55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGCQ0805J100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/crgcq0805j100k-te+connectivity-91018199"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "CRGCQ0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "0.125W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "CRGCQ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Added Component: Designator=R12(FP-CRGCQ0805-IPC_C)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 1142"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773204-3%7F1%7Fpdf%7FEnglish%7FENG_DS_1773204-3_1.pdf%7F4-2176341-1151"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.65mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "RESC200125X55"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGCQ0805J100K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/crgcq0805j100k-te+connectivity-91018199"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "CRGCQ0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "0.125W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "CRGCQ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=VCC Pin=C?-2
Added Pin To Net: NetName=VCC Pin=J1-2
Added Pin To Net: NetName=VCC Pin=J2-1
Added Pin To Net: NetName=GND Pin=R6-2
Added Pin To Net: NetName=GND Pin=R8-2
Added Pin To Net: NetName=GND Pin=R10-2
Added Pin To Net: NetName=GND Pin=R12-2
Added Pin To Net: NetName=InterfaceButton1 Pin=J2-3
Added Pin To Net: NetName=InterfaceButton1 Pin=R7-2
Added Net: Name=InterfaceButton1
Added Pin To Net: NetName=InterfaceButton2 Pin=J2-2
Added Pin To Net: NetName=InterfaceButton2 Pin=R5-2
Added Net: Name=InterfaceButton2
Added Pin To Net: NetName=InterfaceButton3 Pin=J2-5
Added Pin To Net: NetName=InterfaceButton3 Pin=R11-2
Added Net: Name=InterfaceButton3
Added Pin To Net: NetName=InterfaceButton4 Pin=J2-4
Added Pin To Net: NetName=InterfaceButton4 Pin=R9-2
Added Net: Name=InterfaceButton4
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=NetC6_2 Pin=R5-1
Added Pin To Net: NetName=NetC6_2 Pin=R6-1
Added Net: Name=NetC6_2
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC7_2 Pin=R7-1
Added Pin To Net: NetName=NetC7_2 Pin=R8-1
Added Net: Name=NetC7_2
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=R9-1
Added Pin To Net: NetName=NetC8_2 Pin=R10-1
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=R11-1
Added Pin To Net: NetName=NetC9_2 Pin=R12-1
Added Net: Name=NetC9_2
Added Member To Class: ClassName=Connectors Member=Component C6 100nF
Added Member To Class: ClassName=Connectors Member=Component C7 100nF
Added Member To Class: ClassName=Connectors Member=Component C8 100nF
Added Member To Class: ClassName=Connectors Member=Component C9 100nF
Added Member To Class: ClassName=Power_Converter Member=Component C? MAL214097001E3
Added Member To Class: ClassName=Connectors Member=Component R5 1k
Added Member To Class: ClassName=Connectors Member=Component R6 10k
Added Member To Class: ClassName=Connectors Member=Component R7 1k
Added Member To Class: ClassName=Connectors Member=Component R8 10k
Added Member To Class: ClassName=Connectors Member=Component R9 1k
Added Member To Class: ClassName=Connectors Member=Component R10 10k
Added Member To Class: ClassName=Connectors Member=Component R11 1k
Added Member To Class: ClassName=Connectors Member=Component R12 10k
